cbg,"(0, 10)","(10, 20)","(20, 30)","(30, 40)","(40, 50)","(50, 60)","(60, 70)","(70, 80)","(80, 90)","(90, 100)","(100, 110)","(110, 120)","(120, 130)",local_spssim,count
60730186121,0.6436296710641373,0.43922349831416235,0.134819916186695,0.04149968172676377,0.1887000781363523,0.2113374157867195,0.12049694340997638,0.15361422129085606,,,,,,0.24166517823945785,9
60730186122,0.47304512799841647,0.14006371823297775,-0.0016342779276071998,,,-0.0010889102886345852,0.0,-0.0005441513189019905,,,,,,0.10164025111604176,7
60730186131,0.768880309951739,0.10620900377643604,-0.004545223548623832,0.2646702174383215,-0.001251059726101479,-0.007000564472819638,0.10722054429271709,0.22203337898458483,0.0,,,,,0.16180184518847257,10
60730186132,-0.0007657945118060102,0.0,,,,0.0,0.0,,,,,,,-0.00019144862795150255,5
60730186141,0.6889104393749472,0.4828230243508708,0.057587197062455964,-0.004167614989794493,-0.002395867234976314,0.05400072607224985,-0.0037911543961820083,-0.0027934161009894975,,,,,,0.1587716667673227,9
60730186142,0.05986390656793964,-0.00046956607565154946,0.0,,,-0.0005565700925565398,-0.0005565700925565575,0.0,,,,,,0.009713533384529165,7
60730186143,-0.003069707951396282,0.0,0.0,,,0.0,,,,,,,,-0.0007674269878490705,5
60730187001,0.7669529505557138,0.48704896659763436,0.3742522430800339,0.31707968156184013,0.11084242098412898,0.12572941275708938,0.19416188057751185,0.29338130538777585,,,,,,0.3336811076877161,9
60730188011,0.9281923893975665,0.34665082787509777,0.1915000756585305,0.07617078822832633,0.36022813841783613,-0.00545246412670597,0.057184962963970264,-0.0029449969024684056,-0.0004652626373524889,,,,,0.21678493987497782,10
60730188012,0.8126744814433302,0.12015114306598625,-0.0026128293970898186,-0.000673386505953363,-0.0005454374583018462,0.9774239252768979,-0.0006733865059533239,0.0,0.0,,,,,0.21174938999099066,10
60730188021,0.8441131175568591,0.19770634004190166,0.25932604316631325,0.11933311025004285,0.13358244389703786,-0.0030775974325598235,-0.006957932567703844,0.05508708374121537,0.0,,,,,0.17767917873923403,10
60730188022,0.6624335915407925,0.2068527286087198,-0.0019451307646778857,-0.0006912056577182362,-0.0003846237885465342,-0.001725745866889059,-0.0032751864691369,0.3191880155562901,-0.000691205657718236,0.0,,,,0.11797612375011157,11
