cbg,"(0, 10)","(10, 20)","(20, 30)","(30, 40)","(40, 50)","(50, 60)","(60, 70)","(70, 80)","(80, 90)","(90, 100)","(100, 110)","(110, 120)","(120, 130)",local_spssim,count
60730001001,0.911742411351287,0.838322507383475,0.31953378511628777,0.15054965802057374,0.5701391809897363,0.37660090450108435,,,,,,,,0.5278147412270741,7
60730001002,0.9031496239251605,0.9205788635466959,0.4537745900872428,0.629804513593034,0.5821975902973703,-0.0010608872249757073,,,,,,,,0.5814073823707547,7
60730002011,0.9076971809255172,0.8581024309046424,0.5757845265444619,0.42212803057798803,0.4244930989351414,-0.0003830412527970999,0.553923506732271,,,,,,,0.5345351047667465,8
60730002021,0.9353620505967809,0.8810780289267636,0.5762669234915301,0.35161359555885696,0.48619393905441793,-0.0005963938481921278,,,,,,,,0.5383196906300262,7
60730002022,0.8318446708681869,0.873060213453834,0.4227007333004795,-0.002338060902517509,-0.0024466630966267656,-0.0005576347734390351,0.0,,,,,,,0.3031804655499882,8
60730002023,0.9261221560381724,0.9241550922284651,0.6026460612052331,0.35420079863898424,0.7312725076990575,-0.0007392547734490755,,,,,,,,0.5896095601727439,7
60730003001,0.8384254901551822,0.8616586756427743,0.17389532196954527,-0.0008402585870039282,0.0685372551203571,0.0,,,,,,,,0.32361274738347584,7
60730003002,0.8528884753492378,0.7810660939792959,0.7441610973098695,-0.0013636342242055394,0.42458779407893094,-0.0005937715269325978,,,,,,,,0.4667910091610327,7
60730003003,0.9188394529146576,0.9248059125676787,0.6509091999013726,-0.0020137740355334922,0.26035725444176727,-0.0012743039210295543,0.0,,,,,,,0.3930891059812733,8
60730003004,0.8699899084404447,0.8765185325411063,0.339758454892866,0.4062185020100239,0.4773437134362338,-0.0030163393540880014,0.0,,,,,,,0.42383039599522665,8
60730003005,0.8616851717433873,0.925041653175627,0.4407800443799058,0.33982430837036537,0.2282896230413361,-0.00030038459471226343,,,0.0,,,,,0.39933148801655843,8
60730004001,0.9343880107002096,0.9607698589758109,0.7828128079222347,0.24203786932964425,0.4817614611366031,-0.0005538015531820741,,,,,,,,0.5668693677518867,7
60730004002,0.8588296654897898,0.8319204785045771,0.5454401456523027,0.3541777572857934,0.2670962849383669,0.0,,,,,,,,0.47624405531180497,7
60730004003,0.8709380402603868,0.9060067636829854,0.5427780845354093,0.18070258179751805,0.3255342277450629,0.0,,,,,,,,0.4709932830035604,7
60730005001,0.896898796808292,0.8354651369849682,0.6930495044308074,0.14181553353780443,0.3016865392264066,0.0,,0.0,,,,,,0.4098450729983255,8
60730005002,0.934920954187808,0.9123805159901384,0.7273614142551744,0.09069821870940191,0.18014717863059396,0.0,,,,,,,,0.47425138029551944,7
60730005003,0.9064775479946503,0.8811682263307657,0.7136446621629898,0.06324785071751264,0.34791944836336075,-0.0005580247399375509,0.0,,,,,,,0.4159856729756202,8
60730006001,0.9220007327258339,0.8401737965756082,0.6257324440629447,-0.0025866058699863894,0.2275613116017079,-0.000561791102184512,,,,,,,,0.43538664799898724,7
60730006002,0.9260422372694512,0.8490729568210562,0.700442371345951,0.4949483730287662,0.5852809233542655,0.0,,,,,,,,0.5926311436365816,7
60730006003,0.88689554782149,0.906441035653802,0.7017859863809379,0.08438879055316255,0.24581317953341741,-0.0016933297276499001,0.0,,,,,,,0.4033758871735943,8
60730007001,0.9114458795152477,0.8154137760426216,0.6478012632329503,0.26028348375495775,0.2267881071845931,-0.0024093863311159076,,,,,,,,0.4765538538998757,7
60730007002,0.9298586726891387,0.9265697324427974,0.6269277380199556,0.03484800837569051,0.4219765466044084,-0.001373270122286963,0.0,,,,,,,0.41982963257281486,8
60730007003,0.848869672501652,0.7087493740604229,0.33377622238282717,0.39294249078461135,0.25710835571918494,0.39991041704397656,0.0,0.0,,,,,,0.36766956656158434,9
60730008001,0.8859314239202161,0.5666686616322337,0.6775369785232174,-0.0022358607104851335,0.346041092325059,-0.000745012993395723,,,,,,,,0.4121995471161409,7
60730008002,0.8609115262771441,0.7188581850558083,0.3831591639695373,-0.0002937586264817483,0.12874954690531065,-0.0006594470922975588,0.0,,,,,,,0.298675030927003,8
60730008003,0.8840574710233083,0.8655142017661097,0.7298491782143596,0.12684691366191678,0.09340554457370014,-0.0013646518774638305,,,,,,,,0.44971810956032177,7
60730008004,0.9151296758279224,0.9225452278884186,0.8384002734471239,0.32398846952068594,0.3628259171986082,0.326485537911868,-0.0005554156681547076,,,,,,,0.5269742408752103,8
60730009001,0.8900005353962039,0.8846260047517597,0.5545425598755511,0.16261167743140884,0.4167865669809141,-0.000642406186266241,,,,,,,,0.48465415637492854,7
60730009002,0.9162593644257006,0.8434672261377772,0.6394146413789799,-0.002863705926421006,0.2518895151118055,0.2488712960373707,,,,,,,,0.4828397228608688,7
60730009003,0.8937962274691842,0.8326240455082184,0.767814171295301,0.5225719980965002,0.13144243328979122,-0.002314119529468659,,,,,,,,0.524322459354921,7
60730009004,0.8820041045297206,0.8458219520446016,0.6823645168336561,0.11376794319710361,0.1703641645582557,0.0,,,,,,,,0.4490537801938896,7
60730009005,0.8828828477596885,0.7626176728254433,0.6232872310023637,-0.0010582180260847122,-0.0016700143894722182,-0.0004907534632601759,,,,,,,,0.3775947942847797,7
60730009006,0.8326757156254111,0.7259618266776126,0.6954933156790226,-0.0023098920855564578,-0.0020438574664658283,0.24065802757479787,,,,,,,,0.4150725226674703,7
60730010001,0.9161800289855296,0.8213978362269867,0.5160778804896832,0.12052952290391411,-0.002946584336571188,-0.0003081866581418068,0.0,,,,,,,0.33870435680162864,8
60730010002,0.9420332210606804,0.8459050486120023,0.45522397879177995,-0.0005042277158812985,0.17663813123820393,0.6523134771609465,0.0,,,,,,,0.4388013755925331,8
60730010003,0.9427065032501816,0.8717286302611016,0.5553942894948579,0.43536286297419863,0.5277276282502156,0.0,,,,,,,,0.5554866523717592,7
60730010004,0.8958771149105006,0.8345750237326319,0.3851294190127263,-0.0015444960663870088,-0.0035816701578371504,0.0,,,,,,,,0.35174256523860575,7
60730011001,0.9338875229837307,0.7942712537314703,0.6371265837483803,0.18613653226214372,0.21823344926432697,-0.000557954580499895,,,,,,,,0.4615162312349253,7
60730011002,0.9245094625318254,0.7996751298894643,0.30999250500048114,0.09574151832136775,0.4261484691278702,0.0,0.0,,,,,,,0.36515244069585845,8
60730011003,0.844145326499912,0.8238234331272258,0.4366947165321606,-0.001550374770121146,0.2620325642744431,-0.0005832778356988478,,,,,,,,0.3940937313046536,7
60730012001,0.9304523572667621,0.8686458338400865,0.7078829154102585,0.22486656556439683,0.17788645683010393,-0.0022357229110197834,,0.0,,,,,,0.41535691514294115,8
60730012002,0.8828527983039347,0.8373583938700488,0.06384938184468696,-0.001758328290362886,0.5289421182793116,0.1765108631101949,,,,,,,,0.4146258711863024,7
60730012003,0.9009708975911414,0.8575303940894151,0.6341526528936464,0.5856175024282194,0.5192700122382717,-0.00047723642964651555,0.0,,,,,,,0.4995806032587211,8
60730012004,0.9600263297459289,0.9012616916795181,0.7448661151039491,0.3664143948273119,0.43844197061166884,0.3481780864557964,0.0,,,,,,,0.5370269412034533,8
60730013001,0.9131565656085174,0.8507799142820396,0.6986079597341385,0.15316619677256002,0.7692465525531225,-0.0011165972288757545,0.0,0.0,,,,,,0.4229800739651878,9
60730013002,0.9024877843939029,0.9150709675055936,0.7165305046501694,-0.0018557450763215038,0.2863201139817341,-0.0007491348545204543,0.0,0.0,,,,,,0.35222556132506977,9
60730013003,0.8831342644447607,0.8879101703795945,0.7528900015220584,0.2566997423718411,0.21152140308395362,-0.000557544321943821,,,,,,,,0.4985996729133775,7
60730013004,0.8953510728437498,0.8095403740064897,0.6650849661837624,0.06521522636311751,0.4681471671797548,-0.0003197910680915889,0.0,,,,,,,0.41471700221554036,8
60730013005,0.9445981802361424,0.8886780226899499,0.585879050338207,0.5820655423306604,0.1806541380658095,-0.0025015076494654337,0.0,,,,,,,0.4541962037159006,8
60730014001,0.8801944829565672,0.8589415485066825,0.34528957192250614,0.11071576180899223,0.21792487767043048,0.22143860445253227,,,,,,,,0.4390841412196185,7
60730014002,0.8650986307888401,0.8774516812211933,0.37252358331982893,0.5356882537898994,-0.002093206052943944,-0.0006036224308978916,0.0,,,,,,,0.3782950458051314,8
60730014003,0.9274221808036615,0.8906882382179245,0.5773747820279735,0.12314976909603036,0.6673817172062232,0.14928323622241294,0.0,0.0,,,,,,0.4169124904467782,9
60730015001,0.8810191850657678,0.8237091420578376,0.7704563891215668,0.44470960596964804,0.28566091683997635,0.13154620676030906,,,,,,,,0.5561835743025176,7
60730015002,0.8140680462629318,0.8559011010841152,0.771527182289963,-0.0009710251811706707,0.2845051028507311,-0.0018169316319574134,,,,,,,,0.4538689126124355,7
60730015003,0.8712397586760622,0.8814359308568191,0.5143429797905198,0.37224774674325006,0.372792692424424,-0.0018223576935603584,,,,,,,,0.5017061251329192,7
60730015004,0.9174548409758221,0.7661131477350964,0.6688781860736227,-0.0018307295493032567,0.44552174890869684,-0.001245127743566697,,,,,,,,0.4658153444000613,7
60730016001,0.8924036795509367,0.8320122067977624,0.8140768495320703,0.37483004100952516,0.1175095282405967,-0.0021923200614661622,0.0,,,,,,,0.4326628550099179,8
60730016002,0.8796702455588621,0.8369543121969626,0.6495065873145032,0.4859945051768761,0.25511372860496356,0.06274500530007338,0.0,,,,,,,0.45285491202174866,8
60730016003,0.8614583879732506,0.7488928627955552,0.5170317960719526,-0.0028057208021195785,0.12254767896226351,-0.0011110690437689346,0.0,,,,,,,0.32085913370816194,8
60730016004,0.9224972891646225,0.8489580060914321,0.47905959052510855,0.17672807767699397,0.26594033687108565,-0.00021124596064919392,0.0,,,,,,,0.3847102934812277,8
60730017001,0.9489682142013389,0.9018437438746907,0.44673497120123884,0.7938052513329896,0.4697543886116933,-0.001519512930875784,,,,,,,,0.5932645093818459,7
60730017002,0.939110083832242,0.8478010437557933,0.47852782244610975,0.2686373356222871,0.5391889606167574,-0.001869124835192487,,0.0,,,,,,0.4387708744911425,8
60730017003,0.9035434302148283,0.875789233850827,0.5296995764980579,0.6481249022467532,0.2594546647658156,0.22020177256329032,,0.0,,,,,,0.4909733685913674,8
60730017004,0.863952919043135,0.6975859974130629,0.599145474293108,0.1776422474239135,0.31466137855781817,0.0,,,,,,,,0.4421646694551729,7
60730018001,0.8417879641632771,0.7930694367995439,0.480500874433629,0.13074419055948552,0.13611331272580163,-0.0012652419697614895,,,,,,,,0.39682508945199596,7
60730018002,0.9187632245704845,0.8807465732215892,0.20060843160322248,0.2434614313989706,0.4510477290690281,0.1261168967212454,,,,,,,,0.47012404776409006,7
60730018003,0.7764504647201981,0.7945756893011373,0.33252469186199374,0.1503776772529305,0.13513840894914764,-0.00025934983510267486,,,,,,,,0.3648012637083841,7
60730018004,0.8807295085045432,0.7518305520516317,0.163260817183002,0.18746925717834872,0.5131706122604505,-0.002230466769199517,,,,,,,,0.4157050467347961,7
60730018005,0.8354412031385763,0.7319511497753186,0.21954775192118067,0.4783098199547823,0.07915745583292855,-0.0005026528902541232,0.0,0.0,,,,,,0.29298809096656653,9
60730018006,0.827661854919407,0.7201067534794398,0.08331008343638033,0.2636484070377924,0.31613367655956426,-0.0005575905800822832,,,,,,,,0.3683838641420836,7
60730019001,0.9018378306841254,0.8299403038385582,0.2969757111955965,0.07984692910184346,0.50299471316845,-0.001991032300104492,,,,,,,,0.43493407594807815,7
60730019002,0.9124691946502616,0.8933608425657737,0.46519835970350776,0.5490941442393313,-0.0035002023723917173,-0.0012934336633638216,,,,,,,,0.4692214841871865,7
60730019003,0.861738800779524,0.690053662513817,0.4321290055916135,0.27657972510020284,0.07552250238650235,-0.000327467121349276,,,,,,,,0.3892827048750518,7
60730020011,0.8594486940680528,0.8029660229348591,0.3809545799271438,0.25616697948683276,0.25865703272951934,-0.001105164427606714,,,,,,,,0.4261813574531335,7
60730020012,0.8959514329176557,0.8386046733244333,0.38333113315081935,0.16146050433443723,0.47652881395012164,0.0,0.5250692250613874,,,,,,,0.46870654039126497,8
60730020013,0.7165067988620787,0.8366735474047976,0.35947384057729526,0.32938356958541376,-0.0036484764819501203,0.19777054205293085,0.0,,,,,,,0.3480228317143666,8
60730020021,0.9331412167171819,0.839998121869485,0.4648506395322797,0.1090409349927518,-0.0013318397304008637,-0.0017438846990567853,0.0,,,,,,,0.3348507412403201,8
60730020022,0.8834105940229764,0.8758392357210403,0.6116039967651192,0.28261983831196075,0.43083979821404034,0.3615812426520768,,,,,,,,0.5743157842812023,7
60730021001,0.8887906011338532,0.8739320095903067,0.5877030523846978,-0.0043030173542928625,0.23744555560741698,-0.0006466150249913877,,,,,,,,0.43048693105616503,7
60730021002,0.8978315615287986,0.8204117614768691,0.4599871194473245,0.1714996165115064,0.08383249522137291,0.3237584673206733,,,,,,,,0.4595535035844242,7
60730021003,0.8155532427124867,0.7055399984077648,0.2625362841623038,-0.0012822792954141282,0.4921638780311222,-0.0013147649193010398,,,,,,,,0.3788660598498271,7
60730021004,0.9247845487624241,0.8764397411859913,0.6101784373427787,0.24123407647664377,0.29536248669793386,-0.0004973213127014829,0.0,,,,,,,0.42107170987901005,8
60730021005,0.9443971273440999,0.886555011941622,0.4909218556338603,0.503337636667919,0.5774934812268856,-0.0016589117042505614,,,,,,,,0.566841033518356,7
60730022011,0.8626933325611535,0.7982555121222273,0.6661636105087976,0.49469646167945897,0.4853682000582857,0.23402884254135334,0.0,,,,,,,0.5058865656387538,8
60730022012,0.8928538000790314,0.7519979422922464,0.7042904692221996,0.11884712222172339,0.28061528453866497,0.389546555411818,-0.0006118021353944021,,,,,,,0.4482199102328986,8
60730022021,0.8799751715929488,0.803542503150874,0.6288694501916715,0.19411491905351178,0.11588725738627784,-0.002724925817823986,,,,,,,,0.43661072925957667,7
60730022022,0.8982541007736162,0.8606035261404321,0.516868293249944,0.21543257417553546,0.24611872191705522,0.0714626108458507,0.0,,,,,,,0.40124854672891913,8
60730022023,0.904282103044309,0.7161268527712525,0.44941634937710834,0.28821310716715903,0.12438926917783405,0.14906279793097696,0.9990195467745788,,,,,,,0.5186442894633171,8
60730023011,0.7883329480924589,0.7389817133960024,0.38172451690920695,0.1906265026211527,0.08848692779258666,-0.0018546289887482732,,,,,,,,0.36438299663710993,7
60730023012,0.8752735073458727,0.7480692559511534,0.2105962859037589,0.37121922515670824,0.5372679465189463,0.3838116119869834,0.0,,,,,,,0.44660540469477467,8
60730023013,0.8130616483711641,0.7415752238144506,0.12630973026418882,0.34864441239550814,0.2575201604359937,-0.001222239877419107,0.0,,,,,,,0.3265555622005552,8
60730023021,0.8960370424761935,0.8836373846421411,0.5985760386368436,0.6574234897339883,0.819034198955804,0.08962036438667338,0.0,,,,,,,0.5634755026902349,8
60730023022,0.8974245912940497,0.859135433902878,0.5040954939119404,0.358563475382975,0.26016740943365435,-0.003441047171295724,0.0,,,,,,,0.41084933667917173,8
60730023023,0.8728341924848037,0.8273542467665612,0.6476451670636661,0.585956083711215,0.3687149473338637,0.1515620603263402,0.0,,,,,,,0.4934380996694928,8
60730024011,0.8382824776308759,0.588916455652509,0.6260397625071954,0.29586456625773255,-0.0023626957431670424,-0.0022236513397316062,,,,,,,,0.3907528191609024,7
60730024012,0.8921561899891877,0.803127606452348,0.707984220084159,0.09920970256357803,0.1777072710709835,0.3931654133317646,0.0,,,,,,,0.4390500576417173,8
60730024013,0.9015374290572169,0.8508339612275723,0.648669714439082,0.30772769200755196,0.4579743121564264,0.3299067366345277,0.0,,,,,,,0.4995214065031968,8
60730024021,0.9284651647072147,0.7792181892496922,0.8075579284585126,0.296452049531495,0.5559627818624528,0.2584190874609677,,0.0,,,,,,0.5180107430386193,8
60730024022,0.9111074691793525,0.8719167967694749,0.6511766040403425,0.4470624098998858,0.561482040080327,-0.0038515827226547937,0.0,,,,,,,0.49127053389238967,8
60730025011,0.9215501703294208,0.7911883897280061,0.858607283367807,0.5768349382073164,0.5127211234494963,0.11697152701028696,,0.0,,,,,,0.5396962045846191,8
60730025012,0.896975281457311,0.8587641464739568,0.8644207272117043,0.17870996100695144,0.08128046418733273,0.08580796726812562,,,,,,,,0.49432642460089693,7
60730025013,0.936913350344597,0.8166199214946913,0.9017809848324251,0.32508690981949717,0.26113926898259904,-0.0005029024287433579,,0.0,,,,,,0.4630053618635809,8
60730025021,0.91280575387113,0.864696206017522,0.7552312194527507,0.1902770539378135,0.3373346781520658,0.21740361248482362,,0.0,0.0,,,,,0.40971856548951324,9
60730025022,0.954548169532042,0.8936146139643978,0.8280452810102622,0.15686173271234513,0.4420254061400295,0.22502411436801256,,0.0,,,,,,0.5000170453895841,8
60730025023,0.9152916368142648,0.7550950563956051,0.3889989419149864,0.38645021667454577,0.08468496384078204,-0.004014617569789359,,,,,,,,0.42108436634506585,7
60730026011,0.9295159840016056,0.7387810864516351,0.6937213021193372,0.327072076046965,0.11928980564048053,0.12466815965584685,0.0,,,,,,,0.41900691627369574,8
60730026012,0.9558346821384521,0.8100683332837473,0.881834170178359,0.6282634474499762,0.6157946018093713,0.15404541376918404,,,,,,,,0.674306774771515,7
60730026013,0.8976651874295003,0.7934144022583945,0.6086078030990029,0.058082209721325745,0.2936768213622675,0.14878406573990322,0.0,,,,,,,0.40003292708719923,8
60730026021,0.944713110659618,0.7654479827794521,0.7423384456109275,0.22959553358727064,0.42424536759235,0.16021799487865737,0.0,0.0,,,,,,0.40831980438853444,9
60730026022,0.9287308270738853,0.663225707224826,0.6872145689838113,0.3541665086579234,0.2581621014122011,-0.0026946253871927674,0.0,,,,,,,0.412686441137922,8
60730026023,0.8751012441621411,0.7275404383097247,0.5965975628315809,0.42632638224994573,0.3348129314521524,-0.0032139064764944696,,,,,,,,0.49286077542150847,7
60730027021,0.8854136756566856,0.8291148681104281,0.6091806070449541,0.4168391065925809,0.2102320629799731,-0.0011673948227293892,-0.0005454471917860643,,,,,,,0.4212953540528724,8
60730027022,0.899985720893581,0.7839384224067502,0.5123262344252608,0.3515191924527686,0.3156614977684783,-0.003184813353111047,0.0,,,,,,,0.408606607799104,8
60730027023,0.9341706453518897,0.8859905016629234,0.6590142965639794,0.43361242615606355,0.5011754169764429,0.538296680051979,0.0,,,,,,,0.5646085666804682,8
60730027031,0.9255264416115245,0.8038285688886262,0.6570024422392207,0.6720277370610309,0.45397797436602283,-0.001025587244653144,0.0,,,,,,,0.5016196538459674,8
60730027032,0.9283477234600711,0.6913911733713545,0.6447889391353628,0.2373450280618997,0.2542214995501962,-0.0028789900387530404,,,,,,,,0.4588692289233552,7
60730027033,0.9138117967143512,0.8209306472098381,0.5111092314029874,0.4721889131193795,0.3849695284041748,0.05427464092698471,0.0,,,,,,,0.45104067968253075,8
60730027034,0.9625666907022701,0.8551682041509358,0.873207675197622,0.5020846794694951,0.6496709040640168,0.4165820459734091,-0.0005552226603626918,,,,,,,0.6083892824139124,8
60730027051,0.951875706819591,0.8515033507227625,0.9137870337890238,0.16201442735737898,0.660305437109598,-0.0030036205969634685,0.0,0.0,,,,,,0.4420602919001738,9
60730027052,0.9376885440285413,0.9247866379065769,0.8664697065620136,0.44283239407335323,0.7103706439045339,0.1766583896708258,0.998641807935005,-0.0005572777946065876,,,,,,0.6321113557857804,9
60730027071,0.8912155529134173,0.6582006660077496,0.708018573322172,0.26813251389339304,0.17588191254910354,-0.002967441256087535,,0.0,,,,,,0.38549739677567824,8
60730027072,0.8181871809566322,0.6791070766392974,0.4216862836510972,0.18647141365561226,0.5153082296299798,-0.0030951772590803173,0.0,,,,,,,0.37395214389621984,8
60730027073,0.843389755662383,0.4543995143940935,0.6055610102681703,0.3518201309706805,0.19746705122616393,0.1696526219865708,,,,,,,,0.4370483474180103,7
60730027074,0.8424157258340972,0.6822064296656393,0.6426148504889118,0.18204876073512466,0.19782489822289953,0.1265117559812191,,,,,,,,0.44560373682131527,7
60730027081,0.9168728026863021,0.749721058484167,0.622371785604651,0.4784047157755708,0.27907857264462793,0.07843082783462889,,,,,,,,0.5208132938383246,7
60730027082,0.6200018220595462,0.5662893478823444,0.5582190648016294,0.3670158049034681,0.0868147383633731,-0.0005580086151307167,,,,,,,,0.3662971282325384,7
60730027083,0.8275037401368455,0.771874113539049,0.5636883949550752,0.4296933912951492,0.26064155335561295,0.17720013285567604,0.0,,,,,,,0.43294304659105826,8
60730027084,0.8464885293194121,0.7735658725326596,0.37847827014054825,0.14232297086593226,0.28114231783303595,0.05093543775654243,,,,,,,,0.4121555664080218,7
60730027091,0.9195210967123539,0.7715685232635935,0.8701607742906827,0.15326306186009359,0.29730913669991627,-0.0039005855762437973,-0.0005565490032721006,,,,,,,0.42962363689244626,8
60730027092,0.9445397189416357,0.7351279389786171,0.7985228582923928,0.13645730850183377,0.3955704522941863,0.18282854656239322,0.0,0.0,,,,,,0.3991308529463824,9
60730027101,0.9027151169279608,0.8320187251524253,0.36655736057540617,0.25120389765396783,0.3391326852741086,0.3388460880672692,,,,,,,,0.5050789789418564,7
60730027102,0.9414097376761863,0.7772072448207703,0.8397413063658201,0.14597515567109404,0.48905051099268515,0.23003484854742653,,0.0,,,,,,0.48905982915342605,8
60730027111,0.8910137276204332,0.5427737580602569,0.6741842288960493,0.4617498861998217,0.5063107860397965,0.12921752160402733,,,,,,,,0.5342083180700641,7
60730027112,0.9449547487369132,0.7841868573515522,0.4945900973792608,0.4754922754042726,0.5723515734905026,0.11406749010604872,,0.0,,,,,,0.4836632917812214,8
60730027121,0.8677155463309902,0.578163602590354,0.7219041759452858,0.1209506826798533,0.12201144371058904,0.257824156054871,,,0.0,,,,,0.38122422961599195,8
60730027122,0.9008742314499415,0.8142995012753695,0.7088004911724157,0.09122761547375434,0.2899950435001076,0.1290315818600274,,,,,,,,0.48903807745526934,7
60730027123,0.9526425202452773,0.6464461728589099,0.8146054494267422,0.17413007150018803,0.649385142351988,0.17707174522964952,0.0,0.0,,,,,,0.4267851377015943,9
60730028011,0.8648034042888844,0.6090156311491205,0.6402676236450419,0.6761292201404363,0.41767071384759685,-0.0024718787476605253,0.0,,,,,,,0.45791638776048854,8
60730028012,0.7920899019604332,0.5758333983787621,0.72967934850274,0.15846335518004706,0.09433873439240402,0.37166171747429666,-0.0005579024238360939,,,,,,,0.3887869362092637,8
60730028031,0.9180642255483511,0.8455371307887779,0.5457809790529614,0.3557788845382435,0.6368153690900401,0.18817211125828276,0.0,,,,,,,0.4985926714680939,8
60730028032,0.9300927188355077,0.8118407574055672,0.6170494154099594,0.5224293768569548,0.47001591988658287,-0.0011158121569759898,,,,,,,,0.5583853960395994,7
60730028033,0.8505420566623949,0.6065026111401297,0.3707980959517641,0.2441845506084709,0.2909544367558391,-0.001659301334638277,,,,,,,,0.3935537416306601,7
60730028034,0.9523617797218159,0.8419280762053295,0.3141454499161569,0.3476027376609796,0.18239995212088936,0.11946387586787661,0.0,,,,,,,0.393985981641864,8
60730028041,0.9475937474782362,0.7665676078153727,0.36670486583762707,0.4649475492409149,0.43286057542594886,0.2527591394928917,-0.000553346534198264,,,,,,,0.4615543055366848,8
60730028042,0.8929415414783068,0.7736196988199128,0.559047256194661,0.6511987707560964,0.3997090571030997,-0.0030620983507913297,0.0,,,,,,,0.4676363180001836,8
60730028043,0.8749754093929568,0.8059927180403192,0.4713029002439251,0.25323328452120664,0.12454345586326324,-0.0030943264223450054,0.0,,,,,,,0.360993348805618,8
